studentId,disciplineName
80bffc42-9403-4b07-9a19-cdd06a70a604,Programação I
80bffc42-9403-4b07-9a19-cdd06a70a604,Banco de Dados
01f020b8-8f3d-4b8f-8e43-ead970135b69,Programação I
01f020b8-8f3d-4b8f-8e43-ead970135b69,Banco de Dados
01f020b8-8f3d-4b8f-8e43-ead970135b69,Engenharia de Software
01f020b8-8f3d-4b8f-8e43-ead970135b69,Redes de Computadores
01f020b8-8f3d-4b8f-8e43-ead970135b69,Sistemas Operacionais
a7b878b6-0a3e-46f8-9701-45dc828839ba,Programação I
a7b878b6-0a3e-46f8-9701-45dc828839ba,Banco de Dados
a7b878b6-0a3e-46f8-9701-45dc828839ba,Engenharia de Software
a7b878b6-0a3e-46f8-9701-45dc828839ba,Redes de Computadores
a7b878b6-0a3e-46f8-9701-45dc828839ba,Sistemas Operacionais
a7b878b6-0a3e-46f8-9701-45dc828839ba,Web Development
5b35697e-2cd7-4a90-ba0b-7cec90f1c087,Programação I
9e962a33-87a0-4d1f-a541-4a36aa6dc612,Programação I
9e962a33-87a0-4d1f-a541-4a36aa6dc612,Banco de Dados
9e962a33-87a0-4d1f-a541-4a36aa6dc612,Engenharia de Software
9e962a33-87a0-4d1f-a541-4a36aa6dc612,Redes de Computadores
9e962a33-87a0-4d1f-a541-4a36aa6dc612,Sistemas Operacionais
9e962a33-87a0-4d1f-a541-4a36aa6dc612,Web Development
df2d6d24-de90-4d17-a112-49f9b2023715,Programação I
df2d6d24-de90-4d17-a112-49f9b2023715,Banco de Dados
df2d6d24-de90-4d17-a112-49f9b2023715,Engenharia de Software
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Programação I
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Banco de Dados
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Engenharia de Software
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Redes de Computadores
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Sistemas Operacionais
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Web Development
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Inteligência Artificial
117d68e3-03d3-43a1-ba4e-228bf3f1469f,Projeto Integrador
2e47a1f9-97db-401c-afa1-011ee165a895,Programação I
2e47a1f9-97db-401c-afa1-011ee165a895,Banco de Dados
2e47a1f9-97db-401c-afa1-011ee165a895,Engenharia de Software
2e47a1f9-97db-401c-afa1-011ee165a895,Redes de Computadores
77993f42-f034-401c-beb0-96658d839123,Programação I
875459e7-43d3-4155-bac8-b5cb858c7bf3,Programação I
875459e7-43d3-4155-bac8-b5cb858c7bf3,Banco de Dados
875459e7-43d3-4155-bac8-b5cb858c7bf3,Engenharia de Software
875459e7-43d3-4155-bac8-b5cb858c7bf3,Redes de Computadores
875459e7-43d3-4155-bac8-b5cb858c7bf3,Sistemas Operacionais
875459e7-43d3-4155-bac8-b5cb858c7bf3,Web Development
875459e7-43d3-4155-bac8-b5cb858c7bf3,Inteligência Artificial
b70c5e07-b3ac-49b3-aaca-55726295a5a4,Programação I
b70c5e07-b3ac-49b3-aaca-55726295a5a4,Banco de Dados
77ee5423-43af-4f7a-b5f5-1cf5826753d9,Programação I
c51de1fa-512b-493d-bd0d-000a9afe4737,Programação I
c51de1fa-512b-493d-bd0d-000a9afe4737,Banco de Dados
f20412a0-9360-4568-b2eb-3a20d3b67cef,Programação I
